Notes,FilenameRoot,Identifier,MediaType,Format,Title,Alternate Title,Creator,Creator Role,Contributor,Contributor Role,Provider/Publisher,Description/Summary,Date Attribute,Date or Date range,Extent,Geographic coverage,Subject,Subject URIs,Temporal Coverage,Language,Archival Collection,AccessionNumber,Series,Subseries,Box,Folder,Item,Rights Holder,Rights,CorpSubject,CorpSubject URI,PersonalSubject,PersonalSubject URI,Shipment Box,Returned in Box,Reshelved,Filename from vendor,Filename adjustment,Changed on Drive,InspectionNotes,RequestedActions,DateAndInitials,,,,
Any notes about the folder/items - such as only parts of folder were shipped for digitization,"The filename root that is supplied to the vendor, and is the root of all the digitzed images. Please contact Robin for filename information","unique identifier of the item, if available, and if different than filename. The materials may not have them, so in those cases, use of the unique filename prefix should be used","use DCMItype (Collection, Text, Image) - May want to just default to Collection if folders are mostly mixed materials)",Original format of the item. Use AAT terms. IGNORE,Title of folder as it appears in the inventory or finding aid,"given title on container or carrier, if different that main title. NOT REQUIRED","NOT REQUIRED! But if you have it, feel free to add here","Enter more specific creator roles here, if desired or available. Such as author, photographer. Use terms from http://id.loc.gov/vocabulary/relators.html","NOT REQUIRED! But if you have it, feel free to add here","Enter more specific contributor roles here, if desired or available. Such as editor, illustrator. User terms from http://id.loc.gov/vocabulary/relators.html","NOT REQUIRED! But if you have it, feel free to add here",textual description of content,"circa, range, multiple (it's helpful to split this out from the number in order to best normalize the date numbers themselves. If blank, date is exact","Please use yyyy-yyyy for date ranges. If the entire contents of a folder are from a specifc date, you may use yyyy-mm-dd",number of items in folder (may be estimate),place the item may be about - such as the location a photograph or where a letter was written,"This should include any topical, corporate (group), or personal subjects","Please include URIs for selected subjects (from LCSH, LCNAF, VIAF, etc.)",time period an item may be about (may or may not be the same as the date the item is created),,Add the name of the archival collection as found in ArchivesUM when applicable.,"Add the accessionnumber, if known.",add if known. NOT REQUIRED,add if known. NOT REQUIRED,Box Number,Folder Number,add if known. NOT REQUIRED. IGNORE.,ignore,Public or Restricted (select from drop-down menu) - ignore,"corporate entity an item is ""about""",,persons item is about (such as people in a photograph),,,,,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062484,aflcio_rg9_003_Box24_Folder1,Text,,"Rubber, Cork, Linoleum and Plastic Workers of America, United: District 5 Fair Practices Conference, September 1977",,,,,,,"School busing controversy, Jimmy Carter, school desegregation.",,1977,115,,,,,,aflcio_rg9_003,,,,24,1,,,,,,,,Labor_Box1,3,yes,,,,120pp,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062485,aflcio_rg9_003_Box24_Folder8,Text,,"Sleeping Car Porters, Brotherhood of, 1956 - 1959",,,,,,,"A. Philip Randolph speech and interview transcripts, Roy Wilkins, National Sharecroppers Fund.",,1956-1959,158,,,,,,aflcio_rg9_003,,,,24,8,,,,,,,,Labor_Box1,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062486,aflcio_rg9_003_Box24_Folder12,Text,,"State, County and Minicipal Employees, American Federation of: Sanitation Strike, Atlanta, Georgia, 1977",,,,,,,"Atlanta, Strikes, Mayor",,1977,55,,,,,,aflcio_rg9_003,,,,24,12,,,,,,,,Labor_Box1,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062487,aflcio_rg9_003_Box24_Folder14,Text,,"Steelworkers of America, United, 1974-1978",,,,,,,"United States Steel Corporation, United Steelworkers of America, Affirmative action, Pete Flaherty, Pittsburgh, Iorwith Wilbur Abel, National Advisory Commission on Civil Disorders, 28th Annual Conference on Labor, fights over seniority in the steelworker's union vs. quota hiring of women and racial minorities",,1974-1978,360,,,,,,aflcio_rg9_003,,,,24,14,,,,,,,,Labor_Box1,3,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062488,aflcio_rg9_003_Box24_Folder25,Text,,"Teachers, American Federation of: Black Caucus, 1977",,,,,,,"Statement from the Black Caucus of the AFT, affirmative action, California Federation of Teachers",,1977,4,,,,,,aflcio_rg9_003,,,,24,25,,,,,,,,Labor_Box1,4,yes,,,,,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062489,aflcio_rg9_003_Box24_Folder26,Text,,"Teachers, American federation of: Meeting of the Association for the Study of Afro-American Life and History, October 1974",,,,,,,"American Freedom Train Foundation, Association for the Study of Afro-American Life and History, Philadelphia Federation of Teachers",,1974-1978,26,,,,,,aflcio_rg9_003,,,,24,26,,,,,,,,Labor_Box1,4,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062490,aflcio_rg9_003_Box24_Folder30,Text,,"Teamsters, International Brotherhood of, 1956-1977",,,,,,,"Brotherhood of Teamsters v. U.S., affirmative action, discrimination against Blacks and Chicanos, United Airlines v. Evans, United Negro College Fund, Jimmy Hoffa, Negro Teamsters Demands to Teamsters Union Joint Council 42, J. E. Leachman, Brotherhood of Railway Clerks, Mobile Alabama, International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America",,1956-1977,218,,,,,,aflcio_rg9_003,,,,24,30,,,,,,,,Labor_Box1,4,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062491,aflcio_rg9_003_Box24_Folder32,Text,,"Textile Workers of America, United, 1957-1977",,,,,,,"National Committee for Full Employment, Coretta Scott King, Miami, Greensboro, Greenville, Southern labor organizing, Civil Rights Resolution from United Textile Workers of America,",,1957-1977,79,,,,,,aflcio_rg9_003,,,,24,32,,,,,,,,Labor_Box1,4,yes,,,,,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062492,aflcio_rg9_003_Box24_Folder33,Text,,"Textile Workers Union of America, 1958-1975",,,,,,,Labor conditions and statistics in the US south,,1958-1975,38,,,,,,aflcio_rg9_003,,,,24,33,,,,,,,,Labor_Box1,4,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062493,aflcio_rg9_003_Box24_Folder34,Text,,"Textile Workers Union of America: J. P. Stevens Strike, 1973-1976",,,,,,,"Southern Full Employment Coalition, North Carolina",,1973-1976,106,,,,,,aflcio_rg9_003,,,,24,34,,,,,,,,Labor_Box1,4,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062494,aflcio_rg9_003_Box37_Folder4,Text,,"Affirmative Action, 1966-1967",,,,,,,"San Francisco Labor Council bulletins, newspaper copies/clippings. Company specific guide to implementing Affirmative Action programs.",,1966-1967,196,,,,,,aflcio_rg9_003,,,,37,4,,,,,,,,Labor_Box1,4,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062495,aflcio_rg9_003_Box37_Folder5,Text,,"Affirmative Action, 1973-1975",,,,,,,"Olga Madar correspondence, statements on discrimination",,1973-1975,14,,,,,,aflcio_rg9_003,,,,37,5,,,,,,,,Labor_Box1,4,yes,,,,,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062496,aflcio_rg9_003_Box37_Folder6,Text,,"Affirmative Action Assistance Plan, 1974 - 1975",,,,,,,"affirmative action plans, preventative actions, Randolph Institute correspondence, NAACP statements",,1974 - 1975,86,,,,,,aflcio_rg9_003,,,,37,6,,,,,,,,Labor_Box1,4,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062497,aflcio_rg9_003_Box38_Folder8,Text,,Barbara Jordan 1976,,,,,,,"press release, Meet The Press transcript",,1976,22,,,,,,aflcio_rg9_003,,,,38,8,,,,,,,,Labor_Box1,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062498,aflcio_rg9_003_Box38_Folder10,Text,,Bayard Rustin speeches '67-'74,,,,,,,"newsletters, trifolds, booklets of his speeches, writings by others about him",,1967-1974,161,,,,,,aflcio_rg9_003,,,,38,10,,,,,,,,Labor_Box1,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062499,aflcio_rg9_003_Box38_Folder12,Text,,"Beyond the Bicentennial: The Black Woman's Agenda Conference, September 1976",,,,,,,"Black women's labor organizing, Domestic workers labor organizing",,1976,115,,,,,,aflcio_rg9_003,,,,38,12,,,,,,,,Labor_Box1,1,yes,,,,91pp,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062500,aflcio_rg9_003_Box38_Folder16,Text,,black americans to support israel comm 1977,,,,,,,listing members of the committee BASIC & explains rationale of organization,,1977,5,,,,,,aflcio_rg9_003,,,,38,16,,,,,,,,Labor_Box1,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062501,aflcio_rg9_003_Box38_Folder17,Text,,"BASIC committee, 1977",,,,,,,"5013C org papers, NYTimes ad, scholarship info, human rights, press releases, correspondence to consulate general israel, correspondence between african american and israeli politicians",,1977,24,,,,,,aflcio_rg9_003,,,,38,17,,,,,,,,Labor_Box1,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062502,aflcio_rg9_003_Box38_Folder18,Text,,Black Capitalism 1969 - 1972,,,,,,,"economic debates, phamphlets, newspaper articles, press releases, AFLCIO policies for assissting journeymen and training programs, newsletters, Floyd McKissick newsletter publications, Soul City plans, Black Manifesto of Black Economic Development Conference May 12, 1969, League of Revolutionary Black Workers and National Black Economic development conference report",,1969-1972,148,,,,,,aflcio_rg9_003,,,,38,18,,,,,,,,Labor_Box1,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062503,aflcio_rg9_003_Box38_Folder19,Text,,"Black Culture, 1975",,,,,,,"black culture day for Electrical workers union, Lewis Howard Latimer, A. Philip Randolph press release President Ford & economy",,1975,8,,,,,,aflcio_rg9_003,,,,38,19,,,,,,,,Labor_Box1,1,yes,,,,11pp,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062504,aflcio_rg9_003_Box38_Folder20,Text,,Black Education 1975,,,,,,,National Consortium for Black Professional Development in Louisville KY correspondence. Texas Southern University. Coleman Young & blacks in the Army,,1975,6,,,,,,aflcio_rg9_003,,,,38,20,,,,,,,,Labor_Box1,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062505,aflcio_rg9_003_Box38_Folder21,Text,,"Black Elected Officials Conference, Dec 1975",,,,,,,"Howard University Joint Center for Political Studies, William Pollard, Ford Foundation grant for same in 1970, AFLCIO memos, academic papers for conference on political alliance building, Ron Brown involvement, military and blacks, Focus magazine (monthly newsletter) from Joint Center on blacks in military, The Redlining Route to Urban Decay, brochures & pamphlets from the Center, John Lewis at conference, Lois Felder memo on coalition building, meatcutters & butcher union newsletter, correspondence, National Conf of Black Elected Officlas conference papers",,1975,96,,,,,,aflcio_rg9_003,,,,38,21,,,,,,,,Labor_Box1,1,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062506,aflcio_rg9_003_Box38_Folder22,Text,,"Black Elected Officials Conference planning, Dec 1975",,,,,,,"news coverage of the upcoming conference, conf planning materials, correspondence relating to speakers and invited dignitaries, tenative programs, some duplicates",,1975,43,,,,,,aflcio_rg9_003,,,,38,22,,,,,,,,Labor_Box1,2,yes,,,,,,,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062507,aflcio_rg9_003_Box38_Folder23,Text,,"Black Forum Meeting, March 1975",,,,,,,"Leonard Lewis AFLCIO correspondence, Ron Brown serving as chairperson, plans for what forum will do, occurs at Howard U",,1975,13,,,,,,aflcio_rg9_003,,,,38,23,,,,,,,,Labor_Box1,2,yes,,,,,,08282018CSP,,,,
"Do not scan ""Item Has Been Pulled For a Digitization Project"" sheet",labor-062508,aflcio_rg9_003_Box38_Folder24,Text,,"Black History, 1974-1975",,,,,,,"John Hope Franklin, National center on Black Aged, Washington DC, Hobart C. Jackson, October 1975, Hulton, DC Public Schools, William Pollard, WSVA TV-AM-FM, Staunton VA, Bertie Huggard, James H. Scott, Negro Histo-wall exhibits and museum walk through, magazine Monthly Labor Review clipings",,1974-1975,95,,,,,,aflcio_rg9_003,,,,38,24,,,,,,,,Labor_Box1,2,yes,,,,,,,,,,
